,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
0,Army Barracks Attack Ahead of Goodluck Jonathan's Inauguration,5/29/2011,Bauchi,Bauchi,Bauchi,20.0,Boko Haram,,,,,,,,,,10.0,,,,,,,,10.0,,,Bomb,,,,,,Drinking Establishment,Government Building,,,,,,,http://allafrica.com/stories/201105310776.html,http://www.reuters.com/article/2011/05/30/us-nigeria-explosion-idUSTRE74S2O220110530,http://www.vanguardngr.com/2011/06/boko-haram-claims-responsibility-for-bomb-blasts-in-bauchi-maiduguri/,#ERROR! ( Service invoked too many times for one day: geocode. (line 10).),#ERROR! ( Service invoked too many times for one day: geocode. (line 27).),"Bauchi, Bauchi, Nigeria"
4,Attempted Attack on Government Vaccine Warehouse,6/2/2011,Unguwan Doki,Maiduguri,Borno,0.0,Boko Haram,,,,,,,,,,,,,,,,,,0.0,,,Bomb,,,,,,,Government Building,,,,,,,http://dailytimes.com.ng/article/boko-haram-sets-npi-borno-office-ablaze,http://allafrica.com/stories/201106030574.html,http://www.google.com/hostednews/afp/article/ALeqM5ira2PcpZcOPolETfm6OucXhrnMjg?docId=CNG.10e99239f49dff34cf3398bdc730cb91.01,,,"Maiduguri, Borno, Nigeria"
9,"Explosion, Firefight at Gwange Police Station",6/7/2011,"Gwange Police Station, Maiduguri",Maiduguri,Borno,3.0,Boko Haram,State Actor,,,,,,,,3.0,,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.google.com/hostednews/afp/article/ALeqM5hofvKayKKAFFtiX9-Ic5bG2ptVmg?docId=CNG.fafcacea0287fbeab90256732f165e1e.771,http://news.xinhuanet.com/english2010/world/2011-06/08/c_13915959.htm,,,,"Maiduguri, Borno, Nigeria"
10,Explosions at Dandal Police Station,6/7/2011,"Dandal Police Station, Maiduguri",Maiduguri,Borno,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://news.xinhuanet.com/english2010/world/2011-06/08/c_13915959.htm,http://www.google.com/hostednews/afp/article/ALeqM5hofvKayKKAFFtiX9-Ic5bG2ptVmg?docId=CNG.fafcacea0287fbeab90256732f165e1e.771,,,,"Maiduguri, Borno, Nigeria"
12,Attack on Nigeria's Police HQ,6/16/2011,"Police HQ, Louis Edet House",Abuja Municipal Area Council (AMAC),Federal Capital Territory,2.0,Boko Haram,,,,,,,,,1.0,,,,,,,,,1.0,,,Bomb,,,,,Targeted Killing,,Government Building,,,,,,,http://dailytrust.com.ng/index.php?option=com_content&view=article&id=21286:8-killed-in-force-hqtrs-blasts&catid=2:lead-stories&Itemid=8,http://www.telegraph.co.uk/news/worldnews/africaandindianocean/nigeria/8580438/Al-Qaeda-linked-suicide-bomber-targets-Nigeria-police-station.html,,#ERROR! ( Service invoked too many times for one day: geocode. (line 10).),#ERROR! ( Service invoked too many times for one day: geocode. (line 27).),"Abuja Municipal Area Council (AMAC), Federal Capital Territory, Nigeria"
15,Militants Attack Police Station in Katsina,6/20/2011,Katsina,Kankara,Katsina,0.0,Boko Haram,,,,,,,,,,7.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201106210508.html,http://www.bbc.co.uk/news/world-africa-13861739,,,,"Kankara, Katsina, Nigeria"
17,"Suspected Militants Carry Out Sophisticated Attack on Bank, Police Station in Kankara",6/21/2011,Kankara Town,Kankara,Katsina,7.0,Boko Haram,,,,,,,,,,7.0,,,,,,,,,,,Bomb,Gun,,,,Targeted Killing,,Government Building,,,Bank,,,,http://allafrica.com/stories/201106210508.html,http://allafrica.com/stories/201106210854.html,,,,"Kankara, Katsina, Nigeria"
20,Bomb Attack at Maiduguri Custom House,6/27/2011,"Custom House, Dikwa Road, Maiduguri",Maiduguri,Borno,5.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,5.0,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.google.com/hostednews/afp/article/ALeqM5hZ1wV5rHBRwx_5UjUfMS8rsCeyZA?docId=CNG.31a8698f09fce8769b7bba2c176f5d17.621,http://www.boston.com/news/world/africa/articles/2011/06/28/3_die_in_attack_on_nigerian_customs_office/,,,,"Maiduguri, Borno, Nigeria"
21,Attack on Beer Bar in Maiduguri,7/3/2011,Mammy Market,Maiduguri,Borno,10.0,Boko Haram,,,,,,,,,,5.0,,,,,,,,5.0,,,Bomb,Gun,,,,,Drinking Establishment,Government Building,,,,,,,http://allafrica.com/stories/201107041536.html,http://www.trust.org/alertnet/news/blast-kills-five-at-northeast-nigeria-bar,,,,"Maiduguri, Borno, Nigeria"
23,Suspected Militants Kill Four and Steal N21.5 Million in Biu,7/4/2011,Biu,Biu,Borno,4.0,Boko Haram,,,,,,,,,,,,,,,,,,4.0,,,,Gun,,,,,,Government Building,,,,,,,http://dailytrust.com.ng/index.php?option=com_content&view=article&id=22369:robbers-kill-four-snatch-local-govt-salary-in-borno&catid=1:news&Itemid=2,http://allafrica.com/stories/201107050865.html,,,,"Biu, Borno, Nigeria"
24,Toro Police Station Attack,7/5/2011,Toro,Toro,Bauchi,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://234next.com/csp/cms/sites/Next/Home/5727946-146/story.csp,http://allafrica.com/stories/201107070671.html,,,,"Toro, Bauchi, Nigeria"
48,Police Wounded in Bauchi Explosion,8/7/2011,,Bauchi,Bauchi,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201108081571.html,http://www.tribune.com.ng/index.php/news/26350-6-policemen-1-civilian-injured-in-bauchi-explosion-attack,,,,"Bauchi, Bauchi, Nigeria"
54,Attack on Maiduguri Bank,8/9/2011,,Maiduguri,Borno,2.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,2.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201108051118.html,http://www.thisdaylive.com/articles/gunmen-open-fire-on-maiduguri-police-station/95976/,,,,"Maiduguri, Borno, Nigeria"
55,Attack on Maiduguri Police Station,8/9/2011,,Maiduguri,Borno,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201108051118.html,http://www.thisdaylive.com/articles/gunmen-open-fire-on-maiduguri-police-station/95976/,,,,"Maiduguri, Borno, Nigeria"
61,Suicide Bomber Dies in Unsuccessful Maiduguri Attack,8/15/2011,,Maiduguri,Borno,1.0,Boko Haram,State Actor,,,,,,,,1.0,,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://www.trust.org/alertnet/news/bomber-killed-in-failed-attack-on-nigerian-police,http://234next.com/csp/cms/sites/Next/News/National/5738989-146/bomber_killed_in_maiduguri_police_.csp,http://www.bbc.co.uk/news/world-africa-14528418,,,"Maiduguri, Borno, Nigeria"
63,Police Station Attacked,8/16/2011,,Maiduguri,Borno,2.0,Boko Haram,,,,,,,,,,,,,,,,,,2.0,,,Bomb,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201108051118.html,http://www.thisdaylive.com/articles/gunmen-open-fire-on-maiduguri-police-station/95976/,,,,"Maiduguri, Borno, Nigeria"
67,"Police, Bank Attacks in Gombi",8/25/2011,Gombi,,Adamawa,16.0,Boko Haram,,,,,,,,,,8.0,,,,,,,,8.0,,,Bomb,Gun,,Suicide Bombing,,,,Government Building,,,Bank,,,,http://news.yahoo.com/radical-muslim-sect-kills-12-northeast-nigeria-183601265.html,http://www.vanguardngr.com/2011/08/16-killed-as-gunmen-attack-two-police-stations-banks/,,,,", Adamawa, Nigeria"
68,Attack on UN Headquarters in Abuja,8/26/2011,Abuja,Federal Capital Territory Municipal Area Council (AMAC),Federal Capital Territory,23.0,Boko Haram,,,,,,,,,,,,,,,,,,23.0,,,Bomb,,,Suicide Bombing,,Targeted Killing,,Government Building,,,,School,,,http://www.nytimes.com/2011/08/27/world/africa/27nigeria.html?_r=1&ref=africa,http://saharareporters.com/news-page/bombing-un-offices-nigeria-carried-out-suicide-bomber,http://www.cnn.com/2011/WORLD/africa/08/26/nigeria.un/index.html?&hpt=hp_c1,,,"Federal Capital Territory Municipal Area Council (AMAC), Federal Capital Territory, Nigeria"
94,Niger LGA Elections Leave One Dead,10/8/2011,,Kontagora,Niger,1.0,,,,Other Armed Actor,,,,,,,,,,1.0,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201110101281.html,http://tribune.com.ng/index.php/news/29408-niger-lg-election-records-low-turnout-of-voters-1-killed-as-youths-protest,,,,"Kontagora, Niger, Nigeria"
100,Gombe Police Station Blast Kills Three,10/16/2011,Kwami Road,Gombe,Gombe,4.0,Boko Haram,,,,,,,,,,4.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://www.trust.org/alertnet/news/bomb-kills-3-at-northern-nigerian-police-base,http://www.trust.org/alertnet/news/bomb-kills-3-at-northern-nigerian-police-base,,,,"Gombe, Gombe, Nigeria"
121,Suicide Bombers Hit Military HQ in Maiduguri,11/4/2011,,Maiduguri,Borno,2.0,Boko Haram,,,,,,,,,1.0,1.0,,,,,,,,,,,,Gun,,Suicide Bombing,,,,Government Building,,,,,,,http://www.modernghana.com/news/359409/1/restive-northern-nigeria-hit-by-wave-of-attacks.html,http://www.dawn.com/2011/11/05/suicide-bombers-hit-military-hq-in-nigerian-city.html,,,,"Maiduguri, Borno, Nigeria"
122,Attacks in Northern Nigeria,11/5/2011,Damaturu,Damaturu,Yobe,150.0,Boko Haram,,,,,,,,,,,,,,,,,,150.0,,,Bomb,Gun,,,,,,Government Building,Church,,,School,,,http://www.hurriyetdailynews.com/n.php?n=nigeria-assaults-kill-150-pope-calls-to-end-violence-2011-11-06,http://www.timeslive.co.za/africa/2011/11/05/dozens-killed-in-attacks-in-northern-nigeria-witnesses,http://www.christianmessenger.in/boko-haram-bombs-11-churches-in-nigeria-kills-150/,,,"Damaturu, Yobe, Nigeria"
126,Attack on Police Station in Mainok,11/9/2011,Mainok,Kaga,Borno,4.0,Boko Haram,,,,,,,,,,4.0,,,,,,,,,,,Bomb,Gun,Machete,,,,,Government Building,,,,,,,http://allafrica.com/stories/201111111084.html,http://www.tribune.com.ng/index.php/news/31094-boko-haram-attacks-police-outpost-kills-2-in-borno,,,,"Kaga, Borno, Nigeria"
127,Government Official's Brother Killed in Borno State,11/9/2011,,Kaga,Borno,2.0,Boko Haram,,,,,,,,,,,,,,,,,,2.0,,,,Gun,,,,Targeted Killing,,Government Building,,,,,Other,,http://www.thenationonlineng.net/2011/index.php/news/25984-boko-haram-kills-village-head%E2%80%99s-brother-in-borno.html,,,,,"Kaga, Borno, Nigeria"
142,"Robbers Bomb Police Station, Kill Two Policemen",11/20/2011,,Kabba/Bunu,Kogi,2.0,,,,,,Robber,,,,,,,,,,,,,2.0,,,Bomb,,,,,Targeted Killing,,Government Building,,,Bank,,,,http://www.vanguardngr.com/2011/11/robbers-bomb-kogi-police-station-kill-2/,http://www.tribune.com.ng/sun/front-page-articles/5619-robbers-on-the-rampage-bomb-police-station-kill-2-policemen-loot-armoury-in-kogi-attack-ogun-ex-deputy-govs-house-,http://www.thisdaylive.com/articles/bandits-storm-kogi-police-station-kill-two-cops-attack-bank/103232/,,,"Kabba/Bunu, Kogi, Nigeria"
144,Attack on Maiduguri Police Station,11/21/2011,Bulumkutu Market area,Maiduguri,Borno,0.0,Boko Haram,,,,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://allafrica.com/stories/201111230178.html,,,,,"Maiduguri, Borno, Nigeria"
151,Militants Launch Attack in Geidam,11/26/2011,Geidam,Geidam,Yobe,4.0,Boko Haram,,,,,,,,,,,,,,,,,,4.0,,,Bomb,Gun,,,,,,Government Building,Church,,Bank,,,,http://allafrica.com/stories/201111210606.html,http://allafrica.com/stories/201111281098.html,,,,"Geidam, Yobe, Nigeria"
152,Violence Among Political Parties in Kogi State,11/29/2011,Ajaka,Igalamela-Odolu,Kogi,0.0,,,Sectarian Actor,,,,,,,,,,,0.0,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.tribune.com.ng/index.php/news/31982-govt-accuses-acn-candidate-of-instigating-violence-govt-pdp-trying-to-cover-their-crime-can,http://allafrica.com/stories/201111290790.html,,,,"Igalamela-Odolu, Kogi, Nigeria"
160,100 Gunmen Attack Azare banks and police stations,12/4/2011,Azare,Katagum,Bauchi,7.0,Boko Haram,,,,,,,,,3.0,3.0,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,Bank,,,,http://allafrica.com/stories/201112050951.html,http://allafrica.com/stories/201112050284.html,http://www.msnbc.msn.com/id/45541894/ns/world_news-africa/t/police-die-when-town-attacked-north-nigeria/,,,"Katagum, Bauchi, Nigeria"
